iter	Logloss
121	0.5851382373
122	0.5848754761
123	0.5846023148
124	0.584405689
125	0.5841768492
126	0.5839902087
127	0.5836404032
128	0.583490818
129	0.5831991367
130	0.582992983
131	0.5827607472
132	0.5825125846
133	0.5821594456
134	0.5819381521
135	0.5817070073
136	0.5815784791
137	0.5813602585
138	0.5812318893
139	0.5810528542
140	0.580790933
141	0.5804215355
142	0.5802298198
143	0.5799033589
144	0.579670924
145	0.5793856125
146	0.579155581
147	0.5789536232
148	0.578650342
149	0.5781911477
150	0.5779051826
151	0.577662414
152	0.5774660633
153	0.5772162404
154	0.5770108234
155	0.5767026805
156	0.5764582869
157	0.5761767938
158	0.5758443099
159	0.5756491088
160	0.57544445
161	0.5751596719
162	0.5750777006
163	0.5748569085
164	0.5745384623
165	0.574266828
166	0.5740191015
167	0.5737164718
168	0.5734490895
169	0.5730546123
170	0.5726881707
171	0.5724553932
172	0.5721932852
173	0.5719556018
174	0.5717175677
175	0.5714434513
176	0.5710810607
177	0.5708509042
178	0.5706282636
179	0.5704692944
180	0.5701386449
181	0.5697151081
182	0.569350014
183	0.5691349304
184	0.5688986089
185	0.568526809
186	0.5682727826
187	0.5678586491
188	0.5674852697
189	0.5671892205
190	0.56688324
191	0.5666202529
192	0.566262791
193	0.5660247563
194	0.5657354354
195	0.5653727099
196	0.5650816709
197	0.5647651374
198	0.5643206794
199	0.5640229527
200	0.5636889726
201	0.563371008
202	0.5631612641
203	0.5627852044
204	0.5626069845
205	0.5622463975
206	0.5619196654
207	0.5615045841
208	0.5610086995
209	0.5606922118
210	0.5604461821
211	0.5601355359
212	0.5597886698
213	0.559463803
214	0.5590146863
215	0.5587991766
216	0.5585282667
217	0.5582280662
218	0.5579543119
219	0.5576952872
220	0.557317877
221	0.5570123374
222	0.5566017388
223	0.5561974999
224	0.5558601874
225	0.5556132843
226	0.5552283048
227	0.5549933311
228	0.5546339461
229	0.5541994225
230	0.5538508631
231	0.5533800632
232	0.5531246188
233	0.5529365722
234	0.5526143156
235	0.5522829599
236	0.5519345601
237	0.5516089759
238	0.5512278524
239	0.5509006881
240	0.5506311666
241	0.5503242428
242	0.5500074724
243	0.5496664751
244	0.5492345978
245	0.5489242717
246	0.5485630782
247	0.5482226931
248	0.5478457719
249	0.5475271091
250	0.5471698261
251	0.5468675536
252	0.5465955643
253	0.546312308
254	0.5459952804
255	0.5455633571
256	0.5452083415
257	0.5449001773
258	0.5444610009
259	0.5441520273
260	0.5438009301
261	0.543591951
262	0.5432498434
263	0.5428786861
264	0.5425828734
265	0.5421787031
266	0.5418944497
267	0.5416289412
268	0.5413186673
269	0.5410476369
270	0.5408403369
271	0.5406017484
272	0.5402203763
273	0.5399350771
274	0.5396075001
275	0.5392890403
276	0.5389278382
277	0.5385102887
278	0.5379887862
279	0.5375889859
280	0.5373269455
281	0.537007547
282	0.5367460932
283	0.5363643721
284	0.5360488106
285	0.5357600183
286	0.5354498447
287	0.5350984608
288	0.5348277569
289	0.5345746223
290	0.534272987
291	0.533901617
292	0.5336445215
293	0.5334180423
294	0.5332103531
295	0.5329990747
296	0.5327323643
297	0.5324947994
298	0.532237901
299	0.5319981262
300	0.5317206764
301	0.5313548085
302	0.5310781198
303	0.5309034892
304	0.5305785872
305	0.5302585123
306	0.5299987437
307	0.529755416
308	0.5293993047
309	0.5290652275
310	0.5287830697
311	0.5284715843
312	0.5281818251
313	0.5279762739
314	0.5276947061
315	0.5273882158
316	0.5270812033
317	0.5266667017
318	0.5263497905
319	0.5260972159
320	0.5258425463
321	0.5255761927
322	0.5252539189
323	0.5249874484
324	0.5247250855
325	0.5243712753
326	0.5240452916
327	0.5237493068
328	0.5234623017
329	0.5231334001
330	0.5228531048
331	0.5225963566
332	0.5222924165
333	0.5220006421
334	0.5217078049
335	0.5214013439
336	0.521097643
337	0.5207717089
338	0.5204941081
339	0.520178884
340	0.5199348258
341	0.5196612783
342	0.5194431564
343	0.5190932206
344	0.5189583105
345	0.5187633094
346	0.5184927819
347	0.5182773027
348	0.5180223352
349	0.5177358677
350	0.5173125621
351	0.5170972265
352	0.5168918456
353	0.5167733854
354	0.5165473035
355	0.5161822499
356	0.5159743416
357	0.5156204762
358	0.5154546252
359	0.5151630196
360	0.514827785
361	0.5146821718
362	0.5143619293
363	0.5141103344
364	0.5138917655
365	0.513625202
366	0.5134320974
367	0.5131343896
368	0.5129342561
369	0.5127048173
370	0.512429182
371	0.5121586472
372	0.5117421744
373	0.5115599696
374	0.5113083459
375	0.5111147759
376	0.5107684481
377	0.5104076681
378	0.5101373226
379	0.5098156109
380	0.5093829825
381	0.5091239061
382	0.5088942149
383	0.5086525652
384	0.5084101973
385	0.5081421378
386	0.5078345154
387	0.5076153291
388	0.507409039
389	0.5071490003
390	0.5068641393
391	0.5066136849
392	0.5063076541
393	0.5060284305
394	0.5057230711
395	0.5054087366
396	0.5051088162
397	0.5047200361
398	0.5045311813
399	0.5042778689
400	0.5040696663
401	0.5038677671
402	0.5036645545
403	0.5034387345
404	0.503142808
405	0.5028793932
406	0.5025833488
407	0.5023498082
408	0.5021453373
409	0.5018072688
410	0.5014955627
411	0.5012833289
412	0.5010972002
413	0.5008694139
414	0.5006961746
415	0.5004670635
416	0.5001312453
417	0.4997857032
418	0.4996117399
419	0.4993643822
420	0.4991036407
421	0.4989569416
422	0.4989298258
423	0.4987444451
424	0.4985773639
425	0.4983078027
426	0.498002751
427	0.4977638611
428	0.4974709666
429	0.4971961293
430	0.4970416988
431	0.4966285924
432	0.4963265937
433	0.4960826018
434	0.49585128
435	0.4955930204
436	0.4954211408
437	0.4951283147
438	0.4948986511
439	0.4948904766
440	0.4946050889
441	0.4942903244
442	0.494052572
443	0.4938559789
444	0.4935863571
445	0.4932836525
446	0.4930947294
447	0.4928699116
448	0.4926425073
449	0.492390406
450	0.4923423772
451	0.4920412807
452	0.4917408522
453	0.4914721322
454	0.4913280494
455	0.4910766085
456	0.4908595368
457	0.4906403279
458	0.490363984
459	0.4902373828
460	0.49005865
461	0.4898215511
462	0.4896349226
463	0.4894809441
464	0.489295862
465	0.4889546626
466	0.4888208551
467	0.4885847977
468	0.4883330928
469	0.4880760229
470	0.4877825707
471	0.4874445659
472	0.4872405484
473	0.4869686287
474	0.4867537444
475	0.4865110884
476	0.4861447091
477	0.4858229204
478	0.4856773208
479	0.4854310273
480	0.4851247627
481	0.4849745226
482	0.4846569376
483	0.484305934
484	0.484060253
485	0.4837832784
486	0.4835786244
487	0.4832204176
488	0.483009387
489	0.4828307196
490	0.4826717427
491	0.48226888
492	0.4820316979
493	0.4818371506
494	0.4815948066
495	0.4814133417
496	0.4810887409
497	0.4808568871
498	0.4805518551
499	0.4804094856
500	0.4801427506
501	0.4800251084
502	0.4798465655
503	0.4796885567
504	0.479539207
505	0.4792617402
506	0.4789470805
507	0.4787199059
508	0.4784220737
509	0.478391694
510	0.4781605276
511	0.4778738146
512	0.4776445836
513	0.477509615
514	0.4772779341
515	0.4770510459
516	0.4768401717
517	0.4765700465
518	0.4763693854
519	0.4761759855
520	0.4761323484
521	0.4758766658
522	0.4756254009
523	0.4753735975
524	0.4753595366
525	0.475142805
526	0.4748625463
527	0.4746372613
528	0.4743349472
529	0.4741572995
530	0.4738695652
531	0.4736007117
532	0.4733149753
533	0.4730095742
534	0.4727325492
535	0.4724659838
536	0.4721788958
537	0.4719364919
538	0.4717700816
539	0.4714783341
540	0.4710990111
541	0.470897888
542	0.4706106072
543	0.4704509822
544	0.4702282681
545	0.4701219632
546	0.4697694735
547	0.4695956705
548	0.4693466937
549	0.4689502251
550	0.4687910265
551	0.468539554
552	0.4684467105
553	0.4682036674
554	0.4678925003
555	0.4676933744
556	0.4673441388
557	0.4671237548
558	0.4668742834
559	0.4665911076
560	0.4663633632
561	0.4660647225
562	0.4658899974
563	0.4656368836
564	0.4653947133
565	0.4652211161
566	0.4649380606
567	0.4647611395
568	0.4645706539
569	0.4644021758
570	0.4641703211
571	0.4638978373
572	0.4637998673
573	0.4635649198
574	0.463234565
575	0.462956625
576	0.4626199486
577	0.4624510516
578	0.4622111125
579	0.4619731927
580	0.4616763659
581	0.4615358974
582	0.4613856282
583	0.4612006128
584	0.4610092246
585	0.4607979943
586	0.460600362
587	0.4603843713
588	0.4602082866
589	0.4599906927
590	0.4597588241
591	0.4595541776
592	0.4592573892
593	0.4590329527
594	0.4588174358
595	0.4586088651
596	0.4583948084
597	0.4582416043
598	0.4580271009
599	0.4577372625
